queryChr	queryStart	queryEnd	MatchChr	MatchStart	MatchEnd	targetChr	targetStart	targetEnd	MatchCount	Stand
A11	80099941	80299941	A11	80099941	80298858	A11	79133380	79937215	171887	++
A11	96597908	96797908	A11	96597908	96797908	A11	97290150	97594277	199566	++
A11	99709909	99909909	A11	99709909	99909909	A11	100480094	100680265	199831	++
A12	1739832	1939832	A12	1739832	1939832	A12	1730907	1931035	199874	++
A12	3498361	3698361	A12	3498361	3698361	A12	3498009	3698200	199676	++
A12	739158	939158	A12	739158	939158	A12	716875	913349	196154	++
A12	870691	1070691	A12	870691	1070691	A12	848483	1055621	193003	++
A13	18361819	18561819	A13	18361819	18561819	A13	19403955	19604038	199904	++
A13	54534546	54734546	A13	54534546	54733509	A13	57235521	57412216	145711	++
D01	200402	400402	D01	200402	400402	D01	65514204	65714342	199967	+-
D01	2630149	2830149	D01	2630149	2830149	D01	63102400	63302531	199936	+-
D01	4042976	4242976	D01	4042976	4242976	D01	61533125	61733358	199813	+-
D01	44920168	45120168	D01	44920168	45120168	D01	18315754	18515914	199931	+-
D01	59540566	59740566	D01	59540566	59740566	D01	3601525	3801724	199812	+-
D01	59541504	59741504	D01	59541504	59741504	D01	3600587	3800786	199812	+-
D01	9642412	9842412	D01	9642412	9842412	D01	55862149	56117128	199835	+-
D01	9642412	9842412	D01	9642412	9842412	D01	55862149	56117128	199835	+-
D01	9642412	9842412	D01	9642412	9842412	D01	55862149	56117128	199835	+-
D01	9642412	9842412	D01	9642412	9842412	D01	55862149	56117128	199835	+-
D02	27471184	27671184	D02	27471184	27671184	D02	28404706	28604833	199877	++
D02	3105778	3305778	D02	3105778	3305778	D02	3009976	3205708	195086	++
D02	3414508	3614508	D02	3414508	3614508	D02	3314532	3572354	199705	++
D02	5725655	5925655	D02	5725655	5925655	D02	5707434	5890356	181921	++
D02	60131623	60331623	D02	60131623	60331623	D02	63410280	63617887	199883	++
D02	64273083	64473083	D02	64273083	64470842	D02	67573674	67763309	189262	++
D02	818788	1018788	D02	818788	1018788	D02	823378	1020731	196617	++
D03	15058610	15258610	D03	15058610	15257430	D03	38397499	38804331	172973	+-
D03	15058610	15258610	D03	15058610	15257430	D03	38397499	38804331	172973	+-
D03	15058610	15258610	D03	15058610	15257430	D03	38397499	38804331	172973	+-
D03	15058610	15258610	D03	15058610	15257430	D03	38397499	38804331	172973	+-
D03	16819230	17019230	D03	16869987	17019230	D03	36922880	36986968	62515	+-
D03	18440094	18640094	D03	18440094	18640094	D03	35346235	35536877	190010	+-
D03	29982196	30182196	D03	29982196	30182196	D03	22891133	23091007	199650	+-
D03	31432370	31632370	D03	31432370	31632370	D03	21437036	21637202	199896	+-
D03	33152525	33352525	D03	33152525	33352525	D03	19717977	19918080	199890	+-
D03	36559014	36759014	D03	36559014	36652235	D03	16421182	16515728	92813	+-
D03	37822251	38022251	D03	37822251	38022251	.	-1	-1	0	.
D03	38284624	38484624	D03	38284624	38484624	.	-1	-1	0	.
D03	38464853	38664853	D03	38464853	38664853	.	-1	-1	0	.
D03	38646305	38846305	D03	38646305	38846305	.	-1	-1	0	.
D03	41681023	41881023	D03	41681023	41881023	.	-1	-1	0	.
D03	41792374	41992374	D03	41792374	41992374	.	-1	-1	0	.
D03	41961180	42161180	D03	42160997	42161180	D03	10654281	10654464	181	+-
D03	42085816	42285816	D03	42160997	42285816	D03	10529547	10654464	124705	+-
D03	42085816	42285816	D03	42160997	42161180	D03	10654281	10654464	181	+-
D03	51203681	51403681	D03	51203681	51403681	D03	1337032	1537163	199903	+-
D04	51431002	51631002	D04	51431002	51628204	D04	4864380	5054213	183770	+-
D04	52456263	52656263	D04	52456263	52656263	D04	3905455	4104554	189591	+-
D04	52496126	52696126	D04	52496126	52696126	D04	3865563	4057202	189797	+-
D04	53085338	53285338	D04	53085338	53285338	D04	3266377	3466676	199504	+-
D04	692503	892503	D04	692503	892503	D04	58418530	58618648	199970	+-
D04	706755	906755	D04	706755	906755	D04	58404255	58604392	199962	+-
D05	15044625	15244625	D05	15044625	15244625	D05	14973086	15173420	199546	++
D05	27871965	28071965	D05	27871965	28071965	D05	27824666	28011695	185814	++
D05	27871965	28071965	D05	27871965	28071965	D05	27824666	28011695	185814	++
D05	27871965	28071965	D05	27871965	28071965	D05	27824666	28011695	185814	++
D05	27871965	28071965	D05	27871965	28071965	D05	27824666	28011695	185814	++
D05	30132115	30332115	D05	30132115	30332115	D05	30329616	30524404	193582	++
D05	32053788	32253788	D05	32053788	32253788	D05	32343457	32543535	199943	++
D05	6742969	6942969	D05	6742969	6942969	D05	6675290	6875400	199904	++
D05	8569224	8769224	D05	8569224	8769224	D05	8503417	8677505	168716	++
D06	10094787	10294787	D06	10094787	10294787	D06	56457247	56657257	199728	+-
D06	10094787	10294787	D06	10094787	10294787	D06	56457247	56657257	199728	+-
D06	10094787	10294787	D06	10094787	10294787	D06	56457247	56657257	199728	+-
D06	10094787	10294787	D06	10094787	10294787	D06	56457247	56657257	199728	+-
D06	2485224	2685224	D06	2485224	2685224	D06	64063940	64263987	199739	+-
D06	59754233	59954233	D06	59754233	59954233	D06	7042057	7255083	199758	+-
D06	6999852	7199852	D06	6999852	7199852	D06	59562135	59748545	176797	+-
D07	39282672	39482672	D07	39282672	39482672	D07	19428719	19688173	186650	+-
D07	40652111	40852111	D07	40652111	40852111	.	-1	-1	0	.
D07	43184131	43384131	D07	43184131	43384131	.	-1	-1	0	.
D07	43184199	43384199	D07	43184199	43384199	.	-1	-1	0	.
D07	43207188	43407188	D07	43207188	43407188	.	-1	-1	0	.
D07	47719810	47919810	D07	47719810	47919810	D07	11759505	11959396	199060	+-
D07	52984843	53184843	D07	52993260	53184843	D07	6304970	6496929	174559	+-
D07	52984843	53184843	D07	52993260	53184843	D07	6304970	6496929	174559	+-
D07	52984843	53184843	D07	52993260	53184843	D07	6304970	6496929	174559	+-
D07	52984843	53184843	D07	52993260	53184843	D07	6304970	6496929	174559	+-
D07	54359426	54559426	D07	54359426	54559426	D07	4857163	5057066	199531	+-
D08	1515062	1715062	D08	1515062	1715062	D08	70014887	70215020	199873	+-
D08	27201307	27401307	D08	27201307	27401307	D08	44011253	44211788	199620	++
D08	27673143	27873143	D08	27673893	27873143	D08	44456298	44663656	196440	++
D08	28100738	28300738	D08	28100738	28300738	D08	44866858	45067314	199444	++
D08	29835299	30035299	D08	29835299	30035299	D08	41956815	42156906	199955	++
D08	3123274	3323274	D08	3123274	3323274	D08	68327031	68572604	197076	+-
D08	37020622	37220622	D08	37020622	37220622	D08	31889485	32089541	199976	+-
D08	37104169	37304169	D08	37104169	37304169	D08	31805934	32005941	199940	+-
D08	37501898	37701898	D08	37501898	37701898	D08	31407950	31608049	199973	+-
D08	4012402	4212402	D08	4012402	4212402	D08	67423842	67623929	199409	+-
D08	43633766	43833766	D08	43633766	43833766	D08	24970553	25174247	199943	+-
D08	46417274	46617274	D08	46417274	46617274	D08	22153374	22353501	199612	+-
D08	67436136	67636136	D08	67436136	67636136	D08	1237027	1437168	199761	+-
D09	37213588	37413588	D09	37213588	37413588	D09	40366395	40566500	199952	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302142	12502142	D10	12302142	12502142	D10	12677307	12925875	184006	++
D10	12302489	12502489	D10	12302489	12502489	D10	12677655	12926222	184006	++
D10	14433783	14633783	D10	14433783	14633783	D10	14857913	15057989	199916	++
D10	14474024	14674024	D10	14474024	14674024	D10	14898198	15098267	199941	++
D10	14546271	14746271	D10	14546271	14746271	D10	14970465	15170522	199986	++
D10	14616081	14816081	D10	14616081	14816081	D10	15040285	15240432	199968	++
D10	36126148	36326148	D10	36126148	36326148	D10	36751838	36952233	170664	++
D10	63424807	63624807	D10	63424807	63624807	D10	64459664	64659866	199896	++
D10	64246590	64446590	D10	64246590	64446590	D10	65204651	65300007	90147	++
D10	64426949	64626949	D10	64432806	64617985	D10	65294407	65365875	26976	++
D10	64668974	64868974	D10	64674087	64868974	D10	65384037	65556842	169441	++
D11	17739817	17939817	D11	17739817	17939817	D11	55453260	55653406	199966	+-
D11	22166540	22366540	D11	22166540	22366540	D11	51000326	51230074	199950	+-
D11	22493458	22693458	D11	22493458	22693458	D11	50673393	50873425	199973	+-
D11	22943757	23143757	D11	22943757	23143757	D11	50222805	50423004	199830	+-
D11	24325961	24525961	D11	24325961	24525961	D11	48836821	49036937	199928	+-
D11	24351724	24551724	D11	24351724	24551724	D11	48811041	49011174	199915	+-
D11	24464937	24664937	D11	24464937	24664937	D11	48697758	48897860	199944	+-
D11	24507528	24707528	D11	24507528	24707528	D11	48655154	48855267	199943	+-
D11	24507528	24707528	D11	24507528	24707528	D11	48655154	48855267	199943	+-
D11	24507528	24707528	D11	24507528	24707528	D11	48655154	48855267	199943	+-
D11	24507528	24707528	D11	24507528	24707528	D11	48655154	48855267	199943	+-
D11	24513950	24713950	D11	24513950	24713950	D11	48648733	48848838	199942	+-
D11	24528302	24728302	D11	24528302	24728302	D11	48634375	48834478	199938	+-
D11	24531467	24731467	D11	24531467	24731467	D11	48631208	48831313	199938	+-
D11	24531467	24731467	D11	24531467	24731467	D11	48631208	48831313	199938	+-
D11	24531467	24731467	D11	24531467	24731467	D11	48631208	48831313	199938	+-
D11	24531467	24731467	D11	24531467	24731467	D11	48631208	48831313	199938	+-
D11	24547980	24747980	D11	24547980	24747980	D11	48614674	48814792	199917	+-
D11	24558412	24758412	D11	24558412	24758412	D11	48604231	48804334	199943	+-
D11	24578592	24778592	D11	24578592	24778592	D11	48584034	48784151	199940	+-
D11	24605947	24805947	D11	24605947	24805947	D11	48556669	48756762	199956	+-
D11	28922223	29122223	D11	28922223	29122223	D11	44247991	44448044	199983	+-
D11	57367786	57567786	D11	57367786	57567786	D11	15551616	15753166	199919	+-
D11	65338663	65538663	D11	65338663	65538663	D11	7664347	7848252	183445	+-
D11	68806624	69006624	D11	68806624	69006624	D11	4482937	4683039	199923	+-
D11	71409350	71609350	D11	71409350	71609350	D11	1639747	1833108	172867	+-
D11	71720724	71920724	D11	71735204	71920724	D11	1405421	1521746	86711	+-
D12	387995	587995	D12	387995	587995	D12	386729	596141	199451	++
D12	53276572	53476572	D12	53276572	53476572	D12	53615820	53815965	199945	++
D12	5970296	6170296	D12	5970296	6170296	D12	5957567	6157648	199961	++
D13	32670064	32870064	D13	32670064	32870064	D13	33631475	33831531	199979	++
D13	41458373	41658373	D13	41458373	41658373	D13	42616200	42816230	199962	++
D13	53431124	53631124	D13	53431124	53631124	D13	54614415	54814577	199829	++
D13	54850804	55050804	D13	54850804	55050804	D13	56037926	56237951	199968	++
D13	55369185	55569185	D13	55369185	55569185	D13	56556824	56765798	199178	++
D13	55578402	55778402	D13	55578402	55778402	D13	56775021	56975148	199898	++
D13	565385	765385	D13	565385	765385	D13	566421	745013	177872	++
