At_chr	At_start	At_end	Dt_chr	Dt_start	Dt_end	At_seqLen	Dt_seqLen
HC04_A01	53000000	54000000	HC04_D01	35000000	36000000	19284	29471
HC04_A01	56000000	57000000	HC04_D01	0	1000000	17128	17363
HC04_A01	56000000	57000000	HC04_D01	1000000	2000000	17128	17363
HC04_A01	56000000	57000000	HC04_D01	2000000	3000000	33053	32540
HC04_A01	56000000	57000000	HC04_D01	32000000	33000000	223595	205670
HC04_A01	56000000	57000000	HC04_D02	10000000	11000000	15882	15986
HC04_A01	56000000	57000000	HC04_D03	4000000	5000000	15672	13069
HC04_A01	56000000	57000000	HC04_D03	5000000	6000000	15593	15145
HC04_A01	56000000	57000000	HC04_D03	7000000	8000000	19946	16574
HC04_A01	56000000	57000000	HC04_D04	56000000	57000000	19410	17292
HC04_A01	56000000	57000000	HC04_D05	28000000	29000000	15123	15773
HC04_A01	56000000	57000000	HC04_D08	67000000	68000000	14011	13544
HC04_A01	56000000	57000000	HC04_D11	11000000	12000000	21721	15612
HC04_A01	56000000	57000000	HC04_D11	62000000	63000000	14011	16407
HC04_A01	56000000	57000000	HC04_D12	40000000	41000000	15499	15282
HC04_A01	56000000	57000000	HC04_D12	42000000	43000000	14176	12902
HC04_A01	57000000	58000000	HC04_D01	31000000	32000000	40170	37699
HC04_A01	57000000	58000000	HC04_D01	32000000	33000000	43258	33470
HC04_A01	58000000	59000000	HC04_D01	31000000	32000000	30843	37661
HC04_A01	59000000	60000000	HC04_D01	31000000	32000000	29358	32707
HC04_A01	59000000	60000000	HC04_D01	32000000	33000000	254426	250314
HC04_A01	6000000	7000000	HC04_D01	59000000	60000000	208823	185448
HC04_A01	6000000	7000000	HC04_D01	60000000	61000000	195827	195480
HC04_A01	60000000	61000000	HC04_D01	26000000	27000000	81402	87599
HC04_A01	60000000	61000000	HC04_D01	27000000	28000000	66215	52909
HC04_A01	60000000	61000000	HC04_D01	32000000	33000000	46381	44067
HC04_A01	61000000	62000000	HC04_D01	26000000	27000000	19209	13642
HC04_A01	61000000	62000000	HC04_D01	27000000	28000000	13081	16498
HC04_A01	62000000	63000000	HC04_D01	27000000	28000000	77648	90747
HC04_A01	63000000	64000000	HC04_D01	27000000	28000000	68826	84698
HC04_A01	63000000	64000000	HC04_D01	28000000	29000000	25440	24876
HC04_A01	64000000	65000000	HC04_D01	25000000	26000000	284852	287420
HC04_A01	64000000	65000000	HC04_D01	28000000	29000000	19388	40712
HC04_A01	65000000	66000000	HC04_D01	25000000	26000000	138906	154427
HC04_A01	65000000	66000000	HC04_D01	26000000	27000000	54133	54977
HC04_A01	66000000	67000000	HC04_D01	26000000	27000000	18720	24168
HC04_A01	66000000	67000000	HC04_D01	28000000	29000000	59063	55852
HC04_A01	67000000	68000000	HC04_D01	28000000	29000000	9427	5991
HC04_A01	67000000	68000000	HC04_D10	40000000	41000000	27205	32553
HC04_A01	67000000	68000000	HC04_D13	30000000	31000000	6570	14229
HC04_A01	69000000	70000000	HC04_D01	26000000	27000000	20942	19328
HC04_A01	69000000	70000000	HC04_D01	31000000	32000000	92503	70985
HC04_A01	69000000	70000000	HC04_D03	27000000	28000000	12272	10091
HC04_A01	69000000	70000000	HC04_D06	33000000	34000000	12272	10450
HC04_A01	69000000	70000000	HC04_D08	39000000	40000000	11859	11796
HC04_A01	69000000	70000000	HC04_D09	22000000	23000000	12272	14205
HC04_A01	7000000	8000000	HC04_D01	58000000	59000000	59131	55505
HC04_A01	7000000	8000000	HC04_D01	59000000	60000000	651761	580634
HC04_A01	70000000	71000000	HC04_D01	24000000	25000000	32349	36503
HC04_A01	70000000	71000000	HC04_D01	28000000	29000000	32099	30821
HC04_A01	70000000	71000000	HC04_D01	31000000	32000000	52944	42087
HC04_A01	71000000	72000000	HC04_D01	24000000	25000000	115014	97529
HC04_A01	72000000	73000000	HC04_D01	23000000	24000000	20724	6412
HC04_A01	72000000	73000000	HC04_D01	24000000	25000000	24261	21527
HC04_A01	73000000	74000000	HC04_D01	0	1000000	5009	5001
HC04_A01	73000000	74000000	HC04_D01	23000000	24000000	320645	295600
HC04_A01	73000000	74000000	HC04_D02	3000000	4000000	5055	5032
HC04_A01	73000000	74000000	HC04_D05	57000000	58000000	5053	5055
HC04_A01	73000000	74000000	HC04_D09	28000000	29000000	5428	5417
HC04_A01	74000000	75000000	HC04_D01	22000000	23000000	275833	251404
HC04_A01	74000000	75000000	HC04_D12	32000000	33000000	5556	10275
HC04_A01	75000000	76000000	HC04_D01	22000000	23000000	293459	286563
HC04_A01	75000000	76000000	HC04_D03	53000000	54000000	20080	14914
HC04_A01	75000000	76000000	HC04_D07	56000000	57000000	14911	11479
HC04_A01	76000000	77000000	HC04_D01	21000000	22000000	148626	135717
HC04_A01	76000000	77000000	HC04_D01	22000000	23000000	114387	101946
HC04_A01	77000000	78000000	HC04_D01	1000000	2000000	20095	21392
HC04_A01	77000000	78000000	HC04_D01	18000000	19000000	9975	9578
HC04_A01	77000000	78000000	HC04_D01	21000000	22000000	67456	64553
HC04_A01	77000000	78000000	HC04_D12	1000000	2000000	31748	28810
HC04_A01	78000000	79000000	HC04_D01	17000000	18000000	10593	7221
HC04_A01	78000000	79000000	HC04_D01	18000000	19000000	98829	102298
HC04_A01	78000000	79000000	HC04_D06	38000000	39000000	8641	12128
HC04_A01	79000000	80000000	HC04_D01	17000000	18000000	215394	210429
HC04_A01	79000000	80000000	HC04_D01	35000000	36000000	7131	16327
HC04_A01	79000000	80000000	HC04_D01	36000000	37000000	27624	31180
HC04_A01	8000000	9000000	HC04_D01	54000000	55000000	5487	5517
HC04_A01	8000000	9000000	HC04_D01	57000000	58000000	149033	140466
HC04_A01	8000000	9000000	HC04_D01	58000000	59000000	520157	494765
HC04_A01	8000000	9000000	HC04_D02	63000000	64000000	5384	5077
HC04_A01	8000000	9000000	HC04_D04	56000000	57000000	5378	5403
HC04_A01	8000000	9000000	HC04_D08	0	1000000	5385	5080
HC04_A01	8000000	9000000	HC04_D08	6000000	7000000	5378	5341
HC04_A01	8000000	9000000	HC04_D09	38000000	39000000	5378	5383
HC04_A01	8000000	9000000	HC04_D11	69000000	70000000	10799	10519
HC04_A01	8000000	9000000	HC04_D11	72000000	73000000	5415	5444
HC04_A01	80000000	81000000	HC04_D01	18000000	19000000	160307	141727
HC04_A01	80000000	81000000	HC04_D01	19000000	20000000	40531	43486
HC04_A01	80000000	81000000	HC04_D03	27000000	28000000	23531	16642
HC04_A01	81000000	82000000	HC04_D01	19000000	20000000	72424	68796
HC04_A01	81000000	82000000	HC04_D03	27000000	28000000	24251	16642
HC04_A01	82000000	83000000	HC04_D01	19000000	20000000	140339	136683
HC04_A01	82000000	83000000	HC04_D07	7000000	8000000	19654	15382
HC04_A01	9000000	10000000	HC04_D01	2000000	3000000	7281	9482
HC04_A01	9000000	10000000	HC04_D01	57000000	58000000	414868	370351
HC04_A01	9000000	10000000	HC04_D09	28000000	29000000	22282	17278
HC04_A01	94000000	95000000	HC04_D01	16000000	17000000	132012	129856
HC04_A01	94000000	95000000	HC04_D01	26000000	27000000	20858	19328
HC04_A01	94000000	95000000	HC04_D03	27000000	28000000	12205	10091
HC04_A01	94000000	95000000	HC04_D06	33000000	34000000	12205	10450
HC04_A01	94000000	95000000	HC04_D08	39000000	40000000	11792	11796
HC04_A01	94000000	95000000	HC04_D09	22000000	23000000	12205	14205
HC04_A01	97000000	98000000	HC04_D06	25000000	26000000	5160	5031
HC04_A02	0	1000000	HC04_D03	53000000	54000000	261168	257304
HC04_A02	1000000	2000000	HC04_D03	21000000	22000000	6921	6283
HC04_A02	1000000	2000000	HC04_D03	52000000	53000000	59872	69313
HC04_A02	1000000	2000000	HC04_D03	53000000	54000000	871206	836246
HC04_A02	1000000	2000000	HC04_D07	37000000	38000000	6963	5542
HC04_A02	1000000	2000000	HC04_D07	48000000	49000000	6835	5945
HC04_A02	1000000	2000000	HC04_D07	52000000	53000000	5378	5322
HC04_A02	1000000	2000000	HC04_D08	14000000	15000000	5378	5312
HC04_A02	1000000	2000000	HC04_D10	10000000	11000000	10561	9147
HC04_A02	10000000	11000000	HC04_D03	50000000	51000000	29838	21942
HC04_A02	100000000	101000000	HC04_D01	47000000	48000000	10038	7035
HC04_A02	100000000	101000000	HC04_D02	7000000	8000000	467359	442436
HC04_A02	100000000	101000000	HC04_D08	18000000	19000000	5956	5452
HC04_A02	101000000	102000000	HC04_D01	61000000	62000000	22836	17360
HC04_A02	101000000	102000000	HC04_D02	6000000	7000000	335560	317948
HC04_A02	101000000	102000000	HC04_D02	67000000	68000000	5235	5255
HC04_A02	101000000	102000000	HC04_D02	7000000	8000000	148486	152943
HC04_A02	101000000	102000000	HC04_D11	12000000	13000000	8733	12278
HC04_A02	101000000	102000000	HC04_D13	41000000	42000000	14808	11697
HC04_A02	102000000	103000000	HC04_D02	5000000	6000000	168238	166031
HC04_A02	102000000	103000000	HC04_D02	6000000	7000000	398878	353816
HC04_A02	103000000	104000000	HC04_D01	61000000	62000000	5399	6037
HC04_A02	103000000	104000000	HC04_D02	5000000	6000000	481337	438206
HC04_A02	103000000	104000000	HC04_D04	58000000	59000000	5399	5427
HC04_A02	104000000	105000000	HC04_D02	4000000	5000000	671534	662222
HC04_A02	104000000	105000000	HC04_D02	5000000	6000000	156636	148710
HC04_A02	105000000	106000000	HC04_D02	2000000	3000000	175232	156170
HC04_A02	105000000	106000000	HC04_D02	3000000	4000000	491062	459521
HC04_A02	105000000	106000000	HC04_D02	4000000	5000000	213955	190370
HC04_A02	105000000	106000000	HC04_D11	65000000	66000000	9790	7845
HC04_A02	106000000	107000000	HC04_D02	1000000	2000000	269822	271452
HC04_A02	106000000	107000000	HC04_D02	2000000	3000000	273708	271119
HC04_A02	106000000	107000000	HC04_D05	66000000	67000000	5066	8042
HC04_A02	106000000	107000000	HC04_D08	18000000	19000000	5100	5081
HC04_A02	107000000	108000000	HC04_D01	37000000	38000000	5066	5058
HC04_A02	107000000	108000000	HC04_D01	61000000	62000000	5436	6711
HC04_A02	107000000	108000000	HC04_D02	0	1000000	409643	393170
HC04_A02	107000000	108000000	HC04_D02	1000000	2000000	436343	440295
HC04_A02	107000000	108000000	HC04_D02	6000000	7000000	20229	17816
HC04_A02	107000000	108000000	HC04_D04	58000000	59000000	5440	5659
HC04_A02	107000000	108000000	HC04_D08	61000000	62000000	5066	5058
HC04_A02	2000000	3000000	HC04_D03	52000000	53000000	617152	622827
HC04_A02	26000000	27000000	HC04_D04	55000000	56000000	6859	7340
HC04_A02	3000000	4000000	HC04_D03	51000000	52000000	592226	605597
HC04_A02	3000000	4000000	HC04_D03	52000000	53000000	84411	98522
HC04_A02	3000000	4000000	HC04_D08	18000000	19000000	5210	5203
HC04_A02	37000000	38000000	HC04_D05	43000000	44000000	19981	22964
HC04_A02	37000000	38000000	HC04_D07	17000000	18000000	37794	41625
HC04_A02	37000000	38000000	HC04_D10	40000000	41000000	11357	14635
HC04_A02	37000000	38000000	HC04_D12	6000000	7000000	13107	5654
HC04_A02	37000000	38000000	HC04_D13	29000000	30000000	17642	25016
HC04_A02	37000000	38000000	HC04_D13	30000000	31000000	10393	14288
HC04_A02	4000000	5000000	HC04_D03	50000000	51000000	394237	375268
HC04_A02	4000000	5000000	HC04_D03	51000000	52000000	176905	177733
HC04_A02	42000000	43000000	HC04_D09	5000000	6000000	5449	8512
HC04_A02	45000000	46000000	HC04_D05	29000000	30000000	6796	8215
HC04_A02	48000000	49000000	HC04_D08	41000000	42000000	20893	24643
HC04_A02	50000000	51000000	HC04_D03	25000000	26000000	5839	5724
HC04_A02	50000000	51000000	HC04_D10	16000000	17000000	11217	7649
HC04_A02	51000000	52000000	HC04_D03	27000000	28000000	14660	14895
HC04_A02	52000000	53000000	HC04_D03	27000000	28000000	127487	109032
HC04_A02	53000000	54000000	HC04_D03	27000000	28000000	105694	119418
HC04_A02	54000000	55000000	HC04_D03	27000000	28000000	75332	47541
HC04_A02	54000000	55000000	HC04_D07	17000000	18000000	5359	12761
HC04_A02	54000000	55000000	HC04_D08	43000000	44000000	5359	7391
HC04_A02	55000000	56000000	HC04_D03	26000000	27000000	44628	34785
HC04_A02	59000000	60000000	HC04_D03	22000000	23000000	240231	274137
HC04_A02	60000000	61000000	HC04_D03	21000000	22000000	85762	99727
HC04_A02	60000000	61000000	HC04_D03	22000000	23000000	196593	199882
HC04_A02	62000000	63000000	HC04_D03	20000000	21000000	159409	145196
HC04_A02	62000000	63000000	HC04_D03	21000000	22000000	120152	116967
HC04_A02	64000000	65000000	HC04_D03	19000000	20000000	174441	213154
HC04_A02	64000000	65000000	HC04_D03	20000000	21000000	264506	283412
HC04_A02	7000000	8000000	HC04_D03	48000000	49000000	60812	71357
HC04_A02	7000000	8000000	HC04_D06	4000000	5000000	56998	69990
HC04_A02	8000000	9000000	HC04_D01	5000000	6000000	7836	11141
HC04_A02	8000000	9000000	HC04_D02	67000000	68000000	5195	5244
HC04_A02	8000000	9000000	HC04_D03	48000000	49000000	406723	384084
HC04_A02	8000000	9000000	HC04_D03	7000000	8000000	12138	11846
HC04_A02	8000000	9000000	HC04_D05	21000000	22000000	12128	11550
HC04_A02	8000000	9000000	HC04_D05	33000000	34000000	12183	12401
HC04_A02	8000000	9000000	HC04_D07	20000000	21000000	11654	11856
HC04_A02	8000000	9000000	HC04_D09	1000000	2000000	11658	10487
HC04_A02	8000000	9000000	HC04_D09	5000000	6000000	7836	11197
HC04_A02	8000000	9000000	HC04_D11	56000000	57000000	7748	10237
HC04_A02	8000000	9000000	HC04_D11	63000000	64000000	6870	7025
HC04_A02	8000000	9000000	HC04_D13	56000000	57000000	10391	12649
HC04_A02	9000000	10000000	HC04_D03	48000000	49000000	130809	159996
HC04_A02	9000000	10000000	HC04_D04	10000000	11000000	15067	18181
HC04_A02	9000000	10000000	HC04_D10	10000000	11000000	10197	9888
HC04_A02	93000000	94000000	HC04_D02	10000000	11000000	31308	33726
HC04_A02	93000000	94000000	HC04_D02	13000000	14000000	114210	98880
HC04_A02	94000000	95000000	HC04_D11	9000000	10000000	7038	14080
HC04_A02	94000000	95000000	HC04_D12	60000000	61000000	7944	7935
HC04_A02	95000000	96000000	HC04_D02	11000000	12000000	367926	389388
HC04_A02	96000000	97000000	HC04_D01	0	1000000	5194	6743
HC04_A02	96000000	97000000	HC04_D02	10000000	11000000	340802	310749
HC04_A02	96000000	97000000	HC04_D02	11000000	12000000	191346	200590
HC04_A02	96000000	97000000	HC04_D02	3000000	4000000	5056	5032
HC04_A02	96000000	97000000	HC04_D05	57000000	58000000	5054	5055
HC04_A02	96000000	97000000	HC04_D08	61000000	62000000	9289	14873
HC04_A02	97000000	98000000	HC04_D02	10000000	11000000	227905	225869
HC04_A02	97000000	98000000	HC04_D02	9000000	10000000	314624	301757
HC04_A02	97000000	98000000	HC04_D04	6000000	7000000	12701	12355
HC04_A02	97000000	98000000	HC04_D10	62000000	63000000	11599	12482
HC04_A03	0	1000000	HC04_D03	0	1000000	710158	707925
HC04_A03	1000000	2000000	HC04_D03	0	1000000	183498	188948
HC04_A03	1000000	2000000	HC04_D03	1000000	2000000	444987	416449
HC04_A03	1000000	2000000	HC04_D03	2000000	3000000	156194	152286
HC04_A03	101000000	102000000	HC04_D02	63000000	64000000	502614	489009
HC04_A03	101000000	102000000	HC04_D02	64000000	65000000	76599	84041
HC04_A03	102000000	103000000	HC04_D02	64000000	65000000	397359	376789
HC04_A03	102000000	103000000	HC04_D04	51000000	52000000	9337	8704
HC04_A03	102000000	103000000	HC04_D05	62000000	63000000	9337	8701
HC04_A03	102000000	103000000	HC04_D07	12000000	13000000	10383	11458
HC04_A03	102000000	103000000	HC04_D08	69000000	70000000	9337	8619
HC04_A03	102000000	103000000	HC04_D09	26000000	27000000	9337	11842
HC04_A03	102000000	103000000	HC04_D11	56000000	57000000	9694	9873
HC04_A03	102000000	103000000	HC04_D12	39000000	40000000	5340	5621
HC04_A03	102000000	103000000	HC04_D12	50000000	51000000	10382	14594
HC04_A03	102000000	103000000	HC04_D12	51000000	52000000	10382	14594
HC04_A03	102000000	103000000	HC04_D13	59000000	60000000	9338	8819
HC04_A03	102000000	103000000	HC04_D13	61000000	62000000	9338	8828
HC04_A03	103000000	104000000	HC04_D02	64000000	65000000	219312	242211
HC04_A03	103000000	104000000	HC04_D02	65000000	66000000	202067	212346
HC04_A03	104000000	105000000	HC04_D02	65000000	66000000	466902	429203
HC04_A03	104000000	105000000	HC04_D02	66000000	67000000	105153	102735
HC04_A03	104000000	105000000	HC04_D06	57000000	58000000	8922	6236
HC04_A03	105000000	106000000	HC04_D02	66000000	67000000	404149	402384
HC04_A03	106000000	107000000	HC04_D02	66000000	67000000	58752	59470
HC04_A03	106000000	107000000	HC04_D02	67000000	68000000	575657	526591
HC04_A03	106000000	107000000	HC04_D03	1000000	2000000	5036	7158
HC04_A03	107000000	108000000	HC04_D02	67000000	68000000	259683	245872
HC04_A03	107000000	108000000	HC04_D02	68000000	69000000	390574	366529
HC04_A03	108000000	109000000	HC04_D02	68000000	69000000	321509	328234
HC04_A03	108000000	109000000	HC04_D02	69000000	70000000	210582	215506
HC04_A03	109000000	110000000	HC04_D02	69000000	70000000	464026	444008
HC04_A03	109000000	110000000	HC04_D03	53000000	54000000	10080	14766
HC04_A03	110000000	111000000	HC04_D02	69000000	70000000	70981	68859
HC04_A03	110000000	111000000	HC04_D02	70000000	71000000	767842	723804
HC04_A03	111000000	112000000	HC04_D02	10000000	11000000	9578	9596
HC04_A03	111000000	112000000	HC04_D02	70000000	71000000	164795	150945
HC04_A03	111000000	112000000	HC04_D05	2000000	3000000	9573	9597
HC04_A03	111000000	112000000	HC04_D09	7000000	8000000	9249	9513
HC04_A03	112000000	113000000	HC04_D02	72000000	73000000	775459	735725
HC04_A03	112000000	113000000	HC04_D05	57000000	58000000	5002	5002
HC04_A03	13000000	14000000	HC04_D03	11000000	12000000	365435	325695
HC04_A03	13000000	14000000	HC04_D10	48000000	49000000	17681	15132
HC04_A03	13000000	14000000	HC04_D11	44000000	45000000	14427	12429
HC04_A03	17000000	18000000	HC04_D03	16000000	17000000	149753	161915
HC04_A03	17000000	18000000	HC04_D03	7000000	8000000	14682	7334
HC04_A03	17000000	18000000	HC04_D09	26000000	27000000	14690	7732
HC04_A03	18000000	19000000	HC04_D02	65000000	66000000	10399	6105
HC04_A03	18000000	19000000	HC04_D03	16000000	17000000	302538	294208
HC04_A03	2000000	3000000	HC04_D01	61000000	62000000	15850	17244
HC04_A03	2000000	3000000	HC04_D03	2000000	3000000	598088	601549
HC04_A03	2000000	3000000	HC04_D03	3000000	4000000	55117	64963
HC04_A03	2000000	3000000	HC04_D05	31000000	32000000	17484	20214
HC04_A03	2000000	3000000	HC04_D05	32000000	33000000	17484	20214
HC04_A03	2000000	3000000	HC04_D06	2000000	3000000	14293	13707
HC04_A03	2000000	3000000	HC04_D11	12000000	13000000	12929	12319
HC04_A03	2000000	3000000	HC04_D13	41000000	42000000	15357	11697
HC04_A03	3000000	4000000	HC04_D03	2000000	3000000	55117	64963
HC04_A03	3000000	4000000	HC04_D03	3000000	4000000	778815	721280
HC04_A03	33000000	34000000	HC04_D02	18000000	19000000	191909	180284
HC04_A03	33000000	34000000	HC04_D02	19000000	20000000	8595	10207
