AtChr	AtStart	AtEnd	DtChr	DtStart	DtEnd	cumSeq	AtIS_count	DtIS_count
HC04_A01	1000000	2000000	HC04_D01	64000000	65000000	472014	32	26
HC04_A02	107000000	108000000	HC04_D02	0	1000000	414982	21	32
HC04_A02	106000000	107000000	HC04_D02	2000000	3000000	285833	27	33
HC04_A02	105000000	106000000	HC04_D02	3000000	4000000	374786	36	22
HC04_A02	104000000	105000000	HC04_D02	4000000	5000000	642048	24	24
HC04_A02	103000000	104000000	HC04_D02	5000000	6000000	498626	13	19
HC04_A02	102000000	103000000	HC04_D02	6000000	7000000	366662	24	25
HC04_A02	100000000	101000000	HC04_D02	7000000	8000000	465888	36	36
HC04_A02	99000000	100000000	HC04_D02	8000000	9000000	514614	0	0
HC04_A02	98000000	99000000	HC04_D02	9000000	10000000	445461	0	18
HC04_A02	96000000	97000000	HC04_D02	10000000	11000000	344817	1	16
HC04_A02	95000000	96000000	HC04_D02	11000000	12000000	397404	3	23
HC04_A02	94000000	95000000	HC04_D02	12000000	13000000	431611	2	0
HC04_A02	92000000	93000000	HC04_D02	13000000	14000000	419736	0	5
HC04_A02	91000000	92000000	HC04_D02	14000000	15000000	431721	0	5
HC04_A02	89000000	90000000	HC04_D02	15000000	16000000	421256	0	5
HC04_A02	88000000	89000000	HC04_D02	16000000	17000000	250125	0	0
HC04_A02	86000000	87000000	HC04_D02	17000000	18000000	294631	0	21
HC04_A03	33000000	34000000	HC04_D02	18000000	19000000	216730	2	21
HC04_A03	34000000	35000000	HC04_D02	19000000	20000000	217880	6	21
HC04_A03	79000000	80000000	HC04_D02	20000000	21000000	115373	0	21
HC04_A03	26000000	27000000	HC04_D02	21000000	22000000	154314	0	21
HC04_A02	79000000	80000000	HC04_D02	22000000	23000000	116691	0	21
HC04_A02	76000000	77000000	HC04_D02	23000000	24000000	273448	0	0
HC04_A02	75000000	76000000	HC04_D02	24000000	25000000	241941	0	0
HC04_A02	73000000	74000000	HC04_D02	25000000	26000000	190950	0	1
HC04_A03	28000000	29000000	HC04_D02	26000000	27000000	109263	0	1
HC04_A03	37000000	38000000	HC04_D02	27000000	28000000	207638	0	1
HC04_A02	83000000	84000000	HC04_D02	28000000	29000000	327653	0	0
HC04_A03	36000000	37000000	HC04_D02	29000000	30000000	101045	0	8
HC04_A02	82000000	83000000	HC04_D02	30000000	31000000	253624	0	2
HC04_A02	81000000	82000000	HC04_D02	31000000	32000000	213669	0	0
HC04_A03	51000000	52000000	HC04_D02	38000000	39000000	271654	0	0
HC04_A03	65000000	66000000	HC04_D02	39000000	40000000	162860	0	0
HC04_A03	56000000	57000000	HC04_D02	40000000	41000000	165264	1	0
HC04_A03	44000000	45000000	HC04_D02	41000000	42000000	253380	0	0
HC04_A03	46000000	47000000	HC04_D02	42000000	43000000	312921	0	9
HC04_A03	48000000	49000000	HC04_D02	43000000	44000000	305721	0	7
HC04_A03	49000000	50000000	HC04_D02	44000000	45000000	251600	0	0
HC04_A03	66000000	67000000	HC04_D02	46000000	47000000	268904	5	0
HC04_A03	68000000	69000000	HC04_D02	47000000	48000000	390288	3	0
HC04_A03	70000000	71000000	HC04_D02	48000000	49000000	334387	0	0
HC04_A03	71000000	72000000	HC04_D02	49000000	50000000	282580	0	8
HC04_A03	73000000	74000000	HC04_D02	50000000	51000000	335632	0	1
HC04_A03	75000000	76000000	HC04_D02	51000000	52000000	276975	0	15
HC04_A03	83000000	84000000	HC04_D02	52000000	53000000	229114	0	0
HC04_A03	85000000	86000000	HC04_D02	53000000	54000000	228737	0	0
HC04_A03	86000000	87000000	HC04_D02	54000000	55000000	258118	8	35
HC04_A03	89000000	90000000	HC04_D02	55000000	56000000	392134	0	35
HC04_A03	78000000	79000000	HC04_D02	56000000	57000000	240814	0	12
HC04_A03	91000000	92000000	HC04_D02	57000000	58000000	316460	0	0
HC04_A03	92000000	93000000	HC04_D02	58000000	59000000	446565	2	20
HC04_A03	94000000	95000000	HC04_D02	59000000	60000000	358329	0	23
HC04_A03	95000000	96000000	HC04_D02	60000000	61000000	317578	4	3
HC04_A03	97000000	98000000	HC04_D02	61000000	62000000	331531	28	30
HC04_A03	99000000	100000000	HC04_D02	62000000	63000000	375880	0	28
HC04_A03	101000000	102000000	HC04_D02	63000000	64000000	529536	15	20
HC04_A03	102000000	103000000	HC04_D02	64000000	65000000	402855	1	18
HC04_A03	104000000	105000000	HC04_D02	65000000	66000000	444555	2	23
HC04_A03	105000000	106000000	HC04_D02	66000000	67000000	396962	21	19
HC04_A03	106000000	107000000	HC04_D02	67000000	68000000	598628	14	12
HC04_A03	107000000	108000000	HC04_D02	68000000	69000000	376884	13	25
HC04_A03	109000000	110000000	HC04_D02	69000000	70000000	465426	2	31
HC04_A03	110000000	111000000	HC04_D02	70000000	71000000	741605	24	27
HC04_A03	111000000	112000000	HC04_D02	71000000	72000000	769056	18	0
HC04_A03	112000000	113000000	HC04_D02	72000000	73000000	642703	30	33
HC04_A03	0	1000000	HC04_D03	0	1000000	733606	21	6
HC04_A03	1000000	2000000	HC04_D03	1000000	2000000	420393	15	7
HC04_A03	2000000	3000000	HC04_D03	2000000	3000000	547613	19	35
HC04_A03	3000000	4000000	HC04_D03	3000000	4000000	582556	26	30
HC04_A03	4000000	5000000	HC04_D03	4000000	5000000	530981	7	29
HC04_A03	5000000	6000000	HC04_D03	5000000	6000000	452586	25	7
HC04_A03	6000000	7000000	HC04_D03	6000000	7000000	393237	30	18
HC04_A03	8000000	9000000	HC04_D03	7000000	8000000	427400	22	1
HC04_A03	9000000	10000000	HC04_D03	8000000	9000000	513254	7	11
HC04_A03	10000000	11000000	HC04_D03	9000000	10000000	511338	0	0
HC04_A03	12000000	13000000	HC04_D03	10000000	11000000	391750	0	8
HC04_A03	13000000	14000000	HC04_D03	11000000	12000000	390010	1	3
HC04_A03	14000000	15000000	HC04_D03	12000000	13000000	659673	0	2
HC04_A03	16000000	17000000	HC04_D03	13000000	14000000	378444	0	4
HC04_A03	23000000	24000000	HC04_D03	14000000	15000000	313233	0	0
HC04_A03	20000000	21000000	HC04_D03	15000000	16000000	417461	0	0
HC04_A03	19000000	20000000	HC04_D03	16000000	17000000	317719	0	2
HC04_A03	17000000	18000000	HC04_D03	17000000	18000000	473365	10	0
HC04_A03	24000000	25000000	HC04_D03	18000000	19000000	186893	0	0
HC04_A02	65000000	66000000	HC04_D03	19000000	20000000	289301	0	9
HC04_A02	63000000	64000000	HC04_D03	20000000	21000000	321135	0	8
HC04_A02	61000000	62000000	HC04_D03	21000000	22000000	377771	0	5
HC04_A02	59000000	60000000	HC04_D03	22000000	23000000	292975	4	31
HC04_A02	58000000	59000000	HC04_D03	23000000	24000000	289223	4	0
HC04_A02	17000000	18000000	HC04_D03	24000000	25000000	119290	0	0
HC04_A02	33000000	34000000	HC04_D03	26000000	27000000	100447	0	1
HC04_A02	52000000	53000000	HC04_D03	27000000	28000000	139039	4	28
HC04_A02	34000000	35000000	HC04_D03	28000000	29000000	212772	0	0
HC04_A02	35000000	36000000	HC04_D03	29000000	30000000	225266	0	0
HC04_A02	36000000	37000000	HC04_D03	30000000	31000000	141166	0	0
HC04_A02	18000000	19000000	HC04_D03	31000000	32000000	259062	0	0
HC04_A02	20000000	21000000	HC04_D03	32000000	33000000	387185	0	0
HC04_A02	46000000	47000000	HC04_D03	33000000	34000000	180039	4	0
HC04_A02	43000000	44000000	HC04_D03	34000000	35000000	141605	0	0
HC04_A02	42000000	43000000	HC04_D03	35000000	36000000	345123	1	0
HC04_A02	40000000	41000000	HC04_D03	36000000	37000000	213104	0	0
HC04_A02	15000000	16000000	HC04_D03	37000000	38000000	115348	0	0
HC04_A02	30000000	31000000	HC04_D03	39000000	40000000	207758	0	0
HC04_A02	23000000	24000000	HC04_D03	42000000	43000000	297974	0	0
HC04_A02	24000000	25000000	HC04_D03	43000000	44000000	445021	0	0
HC04_A02	26000000	27000000	HC04_D03	44000000	45000000	351337	4	0
HC04_A02	12000000	13000000	HC04_D03	45000000	46000000	317975	0	0
HC04_A02	5000000	6000000	HC04_D03	46000000	47000000	266454	0	0
HC04_A02	7000000	8000000	HC04_D03	47000000	48000000	420755	9	0
HC04_A02	8000000	9000000	HC04_D03	48000000	49000000	442356	10	3
HC04_A02	9000000	10000000	HC04_D03	49000000	50000000	390423	26	0
HC04_A02	4000000	5000000	HC04_D03	50000000	51000000	407800	10	24
HC04_A02	3000000	4000000	HC04_D03	51000000	52000000	615221	32	19
HC04_A02	2000000	3000000	HC04_D03	52000000	53000000	617383	10	10
HC04_A02	1000000	2000000	HC04_D03	53000000	54000000	624220	29	14
HC04_A04	88000000	89000000	HC04_D04	0	1000000	469121	13	10
HC04_A04	86000000	87000000	HC04_D04	2000000	3000000	401013	12	15
HC04_A04	85000000	86000000	HC04_D04	3000000	4000000	388425	21	20
HC04_A04	84000000	85000000	HC04_D04	4000000	5000000	636712	17	25
HC04_A04	83000000	84000000	HC04_D04	5000000	6000000	470953	29	0
HC04_A04	82000000	83000000	HC04_D04	6000000	7000000	324905	10	6
HC04_A04	80000000	81000000	HC04_D04	7000000	8000000	502595	1	5
HC04_A04	79000000	80000000	HC04_D04	8000000	9000000	504989	0	0
HC04_A04	77000000	78000000	HC04_D04	9000000	10000000	476093	1	0
HC04_A04	76000000	77000000	HC04_D04	10000000	11000000	363490	0	1
HC04_A04	75000000	76000000	HC04_D04	11000000	12000000	553166	0	18
HC04_A04	73000000	74000000	HC04_D04	12000000	13000000	361101	0	1
HC04_A04	71000000	72000000	HC04_D04	13000000	14000000	322583	0	14
HC04_A04	70000000	71000000	HC04_D04	14000000	15000000	436366	0	0
HC04_A04	68000000	69000000	HC04_D04	15000000	16000000	420504	0	0
HC04_A04	66000000	67000000	HC04_D04	16000000	17000000	236718	1	0
HC04_A04	65000000	66000000	HC04_D04	17000000	18000000	356449	0	0
HC04_A04	63000000	64000000	HC04_D04	18000000	19000000	280184	4	0
HC04_A04	59000000	60000000	HC04_D04	19000000	20000000	319779	2	0
HC04_A04	58000000	59000000	HC04_D04	20000000	21000000	201851	0	0
HC04_A04	50000000	51000000	HC04_D04	21000000	22000000	369690	0	0
HC04_A04	51000000	52000000	HC04_D04	22000000	23000000	323877	0	0
HC04_A04	44000000	45000000	HC04_D04	23000000	24000000	100018	0	0
HC04_A04	23000000	24000000	HC04_D04	24000000	25000000	199169	0	0
HC04_A04	21000000	22000000	HC04_D04	25000000	26000000	246947	0	0
HC04_A04	41000000	42000000	HC04_D04	26000000	27000000	122452	0	0
HC04_A04	52000000	53000000	HC04_D04	27000000	28000000	181368	0	0
HC04_A04	45000000	46000000	HC04_D04	28000000	29000000	115249	0	0
HC04_A04	28000000	29000000	HC04_D04	33000000	34000000	164150	0	5
HC04_A04	29000000	30000000	HC04_D04	35000000	36000000	296405	0	0
HC04_A04	31000000	32000000	HC04_D04	36000000	37000000	176000	0	0
HC04_A04	16000000	17000000	HC04_D04	37000000	38000000	133618	0	0
HC04_A05	95000000	96000000	HC04_D04	38000000	39000000	179692	16	0
HC04_A05	92000000	93000000	HC04_D04	39000000	40000000	132858	16	0
HC04_A05	91000000	92000000	HC04_D04	40000000	41000000	192371	16	0
HC04_A05	87000000	88000000	HC04_D04	41000000	42000000	363977	0	0
HC04_A05	86000000	87000000	HC04_D04	42000000	43000000	435408	0	0
HC04_A05	85000000	86000000	HC04_D04	43000000	44000000	447314	0	0
HC04_A05	83000000	84000000	HC04_D04	44000000	45000000	431186	0	0
HC04_A05	81000000	82000000	HC04_D04	45000000	46000000	251751	0	0
HC04_A05	79000000	80000000	HC04_D04	46000000	47000000	424353	0	1
HC04_A05	98000000	99000000	HC04_D04	47000000	48000000	419854	17	0
HC04_A05	99000000	100000000	HC04_D04	48000000	49000000	630371	33	6
HC04_A05	100000000	101000000	HC04_D04	49000000	50000000	447175	3	0
HC04_A05	102000000	103000000	HC04_D04	50000000	51000000	399730	15	1
HC04_A05	103000000	104000000	HC04_D04	51000000	52000000	489143	3	10
HC04_A05	104000000	105000000	HC04_D04	52000000	53000000	525285	5	4
HC04_A05	106000000	107000000	HC04_D04	53000000	54000000	407374	20	1
HC04_A05	107000000	108000000	HC04_D04	54000000	55000000	615937	23	23
HC04_A05	108000000	109000000	HC04_D04	55000000	56000000	565522	5	14
HC04_A05	109000000	110000000	HC04_D04	56000000	57000000	510979	14	9
HC04_A05	111000000	112000000	HC04_D04	57000000	58000000	435732	30	16
HC04_A05	112000000	113000000	HC04_D04	58000000	59000000	500355	22	20
HC04_A05	0	1000000	HC04_D05	0	1000000	682734	7	31
HC04_A05	1000000	2000000	HC04_D05	1000000	2000000	695096	3	3
HC04_A05	2000000	3000000	HC04_D05	2000000	3000000	536279	4	18
HC04_A05	3000000	4000000	HC04_D05	3000000	4000000	390760	25	1
HC04_A05	5000000	6000000	HC04_D05	4000000	5000000	650673	30	0
HC04_A05	6000000	7000000	HC04_D05	5000000	6000000	640010	33	36
HC04_A05	7000000	8000000	HC04_D05	6000000	7000000	718771	12	18
HC04_A05	8000000	9000000	HC04_D05	7000000	8000000	705827	30	9
HC04_A05	9000000	10000000	HC04_D05	8000000	9000000	825455	13	7
HC04_A05	10000000	11000000	HC04_D05	9000000	10000000	707540	33	20
HC04_A05	11000000	12000000	HC04_D05	10000000	11000000	695110	1	8
HC04_A05	12000000	13000000	HC04_D05	11000000	12000000	608072	3	3
HC04_A05	13000000	14000000	HC04_D05	12000000	13000000	539701	1	19
HC04_A05	14000000	15000000	HC04_D05	13000000	14000000	482063	23	4
HC04_A05	16000000	17000000	HC04_D05	14000000	15000000	425980	10	0
HC04_A05	17000000	18000000	HC04_D05	15000000	16000000	461708	9	19
HC04_A05	18000000	19000000	HC04_D05	16000000	17000000	455578	16	3
HC04_A05	19000000	20000000	HC04_D05	17000000	18000000	623808	0	23
HC04_A05	20000000	21000000	HC04_D05	18000000	19000000	720417	1	12
HC04_A05	21000000	22000000	HC04_D05	19000000	20000000	669016	28	31
HC04_A05	22000000	23000000	HC04_D05	20000000	21000000	534103	23	32
HC04_A05	23000000	24000000	HC04_D05	21000000	22000000	546566	5	7
HC04_A05	25000000	26000000	HC04_D05	22000000	23000000	472807	5	0
HC04_A05	26000000	27000000	HC04_D05	23000000	24000000	474220	4	0
HC04_A05	27000000	28000000	HC04_D05	24000000	25000000	490676	5	9
HC04_A05	29000000	30000000	HC04_D05	25000000	26000000	584713	1	9
HC04_A05	30000000	31000000	HC04_D05	26000000	27000000	589599	25	16
HC04_A05	32000000	33000000	HC04_D05	27000000	28000000	482733	14	33
HC04_A05	33000000	34000000	HC04_D05	28000000	29000000	540664	28	3
HC04_A05	35000000	36000000	HC04_D05	29000000	30000000	339422	36	1
HC04_A05	36000000	37000000	HC04_D05	30000000	31000000	399676	16	15
HC04_A05	37000000	38000000	HC04_D05	31000000	32000000	342238	8	27
HC04_A05	39000000	40000000	HC04_D05	32000000	33000000	409035	7	26
HC04_A05	41000000	42000000	HC04_D05	33000000	34000000	247311	4	2
HC04_A05	43000000	44000000	HC04_D05	34000000	35000000	376294	8	0
HC04_A05	44000000	45000000	HC04_D05	35000000	36000000	420603	0	0
HC04_A05	46000000	47000000	HC04_D05	36000000	37000000	212541	0	0
HC04_A05	48000000	49000000	HC04_D05	37000000	38000000	329843	0	0
HC04_A05	49000000	50000000	HC04_D05	38000000	39000000	196753	0	0
HC04_A05	53000000	54000000	HC04_D05	39000000	40000000	158121	0	0
HC04_A05	55000000	56000000	HC04_D05	41000000	42000000	102669	0	0
HC04_A05	54000000	55000000	HC04_D05	42000000	43000000	122270	0	0
HC04_A05	60000000	61000000	HC04_D05	45000000	46000000	140390	0	0
HC04_A05	78000000	79000000	HC04_D05	46000000	47000000	284845	0	0
HC04_A05	76000000	77000000	HC04_D05	47000000	48000000	234592	0	0
HC04_A05	75000000	76000000	HC04_D05	48000000	49000000	277511	0	0
HC04_A05	73000000	74000000	HC04_D05	49000000	50000000	264090	0	0
HC04_A05	71000000	72000000	HC04_D05	50000000	51000000	232432	0	0
HC04_A05	67000000	68000000	HC04_D05	51000000	52000000	145296	0	0
HC04_A05	65000000	66000000	HC04_D05	52000000	53000000	182599	0	0
HC04_A04	15000000	16000000	HC04_D05	53000000	54000000	361491	0	0
HC04_A04	14000000	15000000	HC04_D05	54000000	55000000	347635	0	3
HC04_A04	12000000	13000000	HC04_D05	55000000	56000000	231728	6	19
HC04_A04	10000000	11000000	HC04_D05	57000000	58000000	340146	0	20
HC04_A04	9000000	10000000	HC04_D05	58000000	59000000	165023	18	20
HC04_A04	8000000	9000000	HC04_D05	59000000	60000000	331179	24	11
HC04_A04	7000000	8000000	HC04_D05	60000000	61000000	135353	13	29
HC04_A04	6000000	7000000	HC04_D05	61000000	62000000	320333	20	9
HC04_A04	4000000	5000000	HC04_D05	62000000	63000000	398044	31	5
HC04_A04	3000000	4000000	HC04_D05	63000000	64000000	256558	17	11
HC04_A04	2000000	3000000	HC04_D05	64000000	65000000	208090	21	25
HC04_A04	1000000	2000000	HC04_D05	65000000	66000000	424958	32	27
HC04_A04	0	1000000	HC04_D05	66000000	67000000	439791	25	22
HC04_A06	0	1000000	HC04_D06	0	1000000	859607	4	6
HC04_A06	1000000	2000000	HC04_D06	1000000	2000000	600808	12	2
HC04_A06	2000000	3000000	HC04_D06	2000000	3000000	449939	33	19
HC04_A06	3000000	4000000	HC04_D06	3000000	4000000	560011	34	29
HC04_A06	4000000	5000000	HC04_D06	4000000	5000000	393007	31	5
HC04_A06	5000000	6000000	HC04_D06	5000000	6000000	441735	12	15
HC04_A06	6000000	7000000	HC04_D06	6000000	7000000	546287	23	13
HC04_A06	7000000	8000000	HC04_D06	7000000	8000000	409198	25	21
HC04_A06	9000000	10000000	HC04_D06	8000000	9000000	343700	18	8
HC04_A06	10000000	11000000	HC04_D06	9000000	10000000	481758	3	11
HC04_A06	11000000	12000000	HC04_D06	10000000	11000000	459819	18	2
HC04_A06	13000000	14000000	HC04_D06	11000000	12000000	400706	18	9
HC04_A06	15000000	16000000	HC04_D06	12000000	13000000	478068	18	9
HC04_A06	17000000	18000000	HC04_D06	13000000	14000000	402516	5	9
HC04_A06	18000000	19000000	HC04_D06	14000000	15000000	207692	10	10
HC04_A06	20000000	21000000	HC04_D06	15000000	16000000	259057	12	1
HC04_A06	39000000	40000000	HC04_D06	16000000	17000000	254187	17	0
HC04_A06	27000000	28000000	HC04_D06	17000000	18000000	247956	9	0
HC04_A06	28000000	29000000	HC04_D06	18000000	19000000	234730	17	4
HC04_A06	22000000	23000000	HC04_D06	19000000	20000000	146599	5	4
HC04_A06	41000000	42000000	HC04_D06	20000000	21000000	196807	17	4
HC04_A06	31000000	32000000	HC04_D06	21000000	22000000	375287	17	0
HC04_A06	32000000	33000000	HC04_D06	22000000	23000000	234263	17	1
HC04_A06	34000000	35000000	HC04_D06	23000000	24000000	324969	17	0
HC04_A06	36000000	37000000	HC04_D06	24000000	25000000	148410	17	1
HC04_A06	49000000	50000000	HC04_D06	25000000	26000000	176289	0	7
HC04_A06	76000000	77000000	HC04_D06	27000000	28000000	177073	1	7
HC04_A06	78000000	79000000	HC04_D06	28000000	29000000	246449	0	7
HC04_A06	77000000	78000000	HC04_D06	29000000	30000000	262842	0	7
HC04_A06	67000000	68000000	HC04_D06	32000000	33000000	178613	0	7
HC04_A06	66000000	67000000	HC04_D06	33000000	34000000	250588	0	1
HC04_A06	64000000	65000000	HC04_D06	34000000	35000000	226917	0	7
HC04_A06	60000000	61000000	HC04_D06	36000000	37000000	274242	0	7
HC04_A06	57000000	58000000	HC04_D06	37000000	38000000	253535	0	7
HC04_A06	86000000	87000000	HC04_D06	38000000	39000000	195466	0	4
HC04_A06	55000000	56000000	HC04_D06	39000000	40000000	205335	0	4
HC04_A06	51000000	52000000	HC04_D06	40000000	41000000	281480	0	0
HC04_A06	83000000	84000000	HC04_D06	41000000	42000000	137733	1	0
HC04_A06	88000000	89000000	HC04_D06	42000000	43000000	328410	2	7
HC04_A06	91000000	92000000	HC04_D06	43000000	44000000	272230	2	0
HC04_A06	92000000	93000000	HC04_D06	44000000	45000000	609817	0	0
HC04_A06	93000000	94000000	HC04_D06	45000000	46000000	372304	5	0
HC04_A06	95000000	96000000	HC04_D06	46000000	47000000	350563	2	0
HC04_A06	96000000	97000000	HC04_D06	47000000	48000000	270287	3	0
HC04_A06	99000000	100000000	HC04_D06	48000000	49000000	347619	4	1
HC04_A06	102000000	103000000	HC04_D06	49000000	50000000	326952	2	1
HC04_A06	104000000	105000000	HC04_D06	50000000	51000000	450148	6	1
HC04_A06	105000000	106000000	HC04_D06	51000000	52000000	237305	8	1
HC04_A06	108000000	109000000	HC04_D06	52000000	53000000	406188	10	6
HC04_A06	110000000	111000000	HC04_D06	53000000	54000000	497415	1	0
HC04_A06	111000000	112000000	HC04_D06	54000000	55000000	620782	15	0
HC04_A06	112000000	113000000	HC04_D06	55000000	56000000	479587	12	13
HC04_A06	115000000	116000000	HC04_D06	56000000	57000000	179360	0	16
HC04_A06	116000000	117000000	HC04_D06	57000000	58000000	454126	0	15
HC04_A06	118000000	119000000	HC04_D06	58000000	59000000	435132	0	8
HC04_A06	119000000	120000000	HC04_D06	59000000	60000000	328845	2	25
HC04_A06	121000000	122000000	HC04_D06	60000000	61000000	471632	2	14
HC04_A06	122000000	123000000	HC04_D06	61000000	62000000	154086	0	25
HC04_A06	123000000	124000000	HC04_D06	62000000	63000000	524607	18	2
HC04_A06	124000000	125000000	HC04_D06	63000000	64000000	521469	6	26
HC04_A06	125000000	126000000	HC04_D06	64000000	65000000	639365	34	33
HC04_A06	126000000	127000000	HC04_D06	65000000	66000000	433083	27	26
HC04_A07	97000000	98000000	HC04_D07	1000000	2000000	710736	25	0
HC04_A07	96000000	97000000	HC04_D07	2000000	3000000	597289	25	35
HC04_A07	95000000	96000000	HC04_D07	3000000	4000000	759956	24	24
HC04_A07	94000000	95000000	HC04_D07	4000000	5000000	490226	36	5
HC04_A07	93000000	94000000	HC04_D07	5000000	6000000	641631	28	0
HC04_A07	92000000	93000000	HC04_D07	6000000	7000000	379999	33	23
HC04_A07	90000000	91000000	HC04_D07	7000000	8000000	526254	10	3
HC04_A07	86000000	87000000	HC04_D07	8000000	9000000	251527	2	25
HC04_A07	84000000	85000000	HC04_D07	9000000	10000000	399340	22	0
HC04_A07	83000000	84000000	HC04_D07	10000000	11000000	364653	5	18
HC04_A07	81000000	82000000	HC04_D07	11000000	12000000	288307	2	20
HC04_A07	80000000	81000000	HC04_D07	12000000	13000000	306549	2	33
HC04_A07	78000000	79000000	HC04_D07	13000000	14000000	270681	2	7
HC04_A07	59000000	60000000	HC04_D07	14000000	15000000	216636	2	0
HC04_A07	76000000	77000000	HC04_D07	15000000	16000000	176175	2	28
HC04_A07	74000000	75000000	HC04_D07	19000000	20000000	126772	2	28
HC04_A07	57000000	58000000	HC04_D07	20000000	21000000	176427	2	28
HC04_A07	56000000	57000000	HC04_D07	21000000	22000000	396336	2	1
HC04_A07	54000000	55000000	HC04_D07	22000000	23000000	162035	8	0
HC04_A07	64000000	65000000	HC04_D07	23000000	24000000	212914	2	27
HC04_A07	53000000	54000000	HC04_D07	24000000	25000000	170600	2	0
HC04_A07	51000000	52000000	HC04_D07	25000000	26000000	318921	2	20
HC04_A07	49000000	50000000	HC04_D07	26000000	27000000	353878	2	20
HC04_A07	45000000	46000000	HC04_D07	28000000	29000000	335153	0	18
