Chr	Start	End	Ghlatifolium	Ghmariegalante	Ghmorrilli	Ghpalmeri	Ghpunctatum	Ghpurpurascen	Ghrichmondi	Ghyucatanense	windowClass
HC04_A03	18000000	19000000	0	0	0	0	0	16	0	0	At_specific
HC04_A03	41000000	42000000	0	1	0	0	0	0	0	0	At_specific
HC04_A03	62000000	63000000	5	0	0	0	0	0	0	0	At_specific
HC04_A03	67000000	68000000	0	0	3	0	0	0	0	2	At_specific
HC04_A03	87000000	88000000	0	1	0	0	5	0	0	7	At_specific
HC04_A03	88000000	89000000	0	0	0	0	3	0	2	2	At_specific
HC04_A03	93000000	94000000	0	0	0	2	0	0	0	0	At_specific
HC04_A03	98000000	99000000	13	0	0	3	0	0	1	7	At_specific
HC04_A03	103000000	104000000	0	0	9	2	0	0	0	0	At_specific
HC04_A03	108000000	109000000	4	0	4	2	0	0	2	1	At_specific
HC04_A04	5000000	6000000	2	0	0	0	7	1	3	18	At_specific
HC04_A04	11000000	12000000	0	1	0	0	0	0	0	0	At_specific
HC04_A04	35000000	36000000	1	0	0	2	2	0	7	0	At_specific
HC04_A04	36000000	37000000	0	1	0	0	17	0	0	0	At_specific
HC04_A04	78000000	79000000	1	0	0	0	0	0	2	0	At_specific
HC04_A04	81000000	82000000	8	0	0	1	0	0	0	0	At_specific
HC04_A04	87000000	88000000	2	0	2	10	4	0	1	0	At_specific
HC04_A05	4000000	5000000	6	0	0	1	0	2	2	5	At_specific
HC04_A05	15000000	16000000	0	1	0	0	0	0	0	11	At_specific
HC04_A05	24000000	25000000	2	1	1	7	0	0	1	5	At_specific
HC04_A05	28000000	29000000	0	1	0	0	2	0	1	1	At_specific
HC04_A05	31000000	32000000	6	10	2	5	2	0	5	1	At_specific
HC04_A05	34000000	35000000	0	1	0	0	0	0	0	0	At_specific
HC04_A05	38000000	39000000	0	0	0	6	3	0	0	21	At_specific
HC04_A05	42000000	43000000	0	0	0	6	0	0	4	0	At_specific
HC04_A05	89000000	90000000	0	0	0	0	2	0	0	0	At_specific
HC04_A05	90000000	91000000	0	0	4	0	0	0	0	2	At_specific
HC04_A05	93000000	94000000	0	0	0	0	11	0	5	0	At_specific
HC04_A05	94000000	95000000	0	0	0	7	0	0	1	8	At_specific
HC04_A05	96000000	97000000	7	1	0	1	3	0	1	3	At_specific
HC04_A05	97000000	98000000	0	0	8	1	0	0	7	0	At_specific
HC04_A05	101000000	102000000	10	1	0	19	0	0	0	0	At_specific
HC04_A05	110000000	111000000	14	5	7	0	2	1	2	0	At_specific
HC04_A06	8000000	9000000	0	0	0	1	0	0	1	0	At_specific
HC04_A06	12000000	13000000	0	18	0	0	0	0	0	0	At_specific
HC04_A06	14000000	15000000	6	0	2	0	7	0	0	3	At_specific
HC04_A06	16000000	17000000	0	0	0	0	14	0	0	0	At_specific
HC04_A06	19000000	20000000	0	10	0	0	0	0	0	0	At_specific
HC04_A06	21000000	22000000	0	1	0	0	2	0	2	0	At_specific
HC04_A06	23000000	24000000	0	5	0	0	0	0	0	0	At_specific
HC04_A06	24000000	25000000	0	2	0	0	0	0	3	0	At_specific
HC04_A06	25000000	26000000	0	5	0	0	0	0	0	0	At_specific
HC04_A06	26000000	27000000	0	1	0	8	0	0	0	0	At_specific
HC04_A06	29000000	30000000	5	4	0	0	3	5	0	0	At_specific
HC04_A06	30000000	31000000	6	0	0	0	2	5	0	0	At_specific
HC04_A06	33000000	34000000	2	14	0	0	1	0	0	0	At_specific
HC04_A06	35000000	36000000	0	0	0	0	8	1	4	0	At_specific
HC04_A06	37000000	38000000	0	0	0	0	6	5	4	2	At_specific
HC04_A06	38000000	39000000	0	0	3	0	5	5	0	0	At_specific
HC04_A06	40000000	41000000	3	0	0	0	0	0	14	0	At_specific
HC04_A06	42000000	43000000	0	0	0	0	14	0	3	0	At_specific
HC04_A06	43000000	44000000	1	0	5	1	0	0	10	0	At_specific
HC04_A06	44000000	45000000	0	0	0	1	13	0	0	3	At_specific
HC04_A06	45000000	46000000	2	0	0	4	8	0	3	0	At_specific
HC04_A06	46000000	47000000	8	0	1	0	2	0	6	0	At_specific
HC04_A06	47000000	48000000	2	0	0	3	13	0	0	0	At_specific
HC04_A06	48000000	49000000	1	0	0	15	0	0	1	0	At_specific
HC04_A06	50000000	51000000	6	0	0	6	0	0	0	0	At_specific
HC04_A06	52000000	53000000	6	0	0	2	0	0	1	0	At_specific
HC04_A06	53000000	54000000	3	0	1	0	4	0	0	0	At_specific
HC04_A06	61000000	62000000	3	0	0	0	4	0	0	0	At_specific
HC04_A06	72000000	73000000	1	0	0	0	0	0	0	0	At_specific
HC04_A06	81000000	82000000	0	1	0	0	0	0	0	0	At_specific
HC04_A06	84000000	85000000	0	0	2	0	0	0	1	0	At_specific
HC04_A06	90000000	91000000	0	0	0	0	2	0	0	0	At_specific
HC04_A06	94000000	95000000	5	1	0	2	0	0	1	1	At_specific
HC04_A06	97000000	98000000	0	0	0	0	0	0	0	4	At_specific
HC04_A06	98000000	99000000	0	0	0	0	1	0	0	3	At_specific
HC04_A06	100000000	101000000	0	0	0	0	2	0	0	0	At_specific
HC04_A06	101000000	102000000	0	0	0	0	0	0	0	2	At_specific
HC04_A06	103000000	104000000	0	0	0	0	1	0	0	1	At_specific
HC04_A06	106000000	107000000	3	0	0	0	0	5	0	0	At_specific
HC04_A06	107000000	108000000	8	0	0	0	0	0	0	0	At_specific
HC04_A06	109000000	110000000	0	0	0	0	2	0	0	0	At_specific
HC04_A06	120000000	121000000	3	0	0	0	2	3	2	0	At_specific
HC04_A06	127000000	128000000	0	0	1	1	9	0	0	19	At_specific
HC04_A07	0	1000000	1	7	0	2	0	0	0	0	At_specific
HC04_A07	8000000	9000000	0	2	0	0	29	0	2	0	At_specific
HC04_A07	14000000	15000000	0	0	0	0	1	0	0	4	At_specific
HC04_A07	17000000	18000000	0	0	0	0	1	0	0	16	At_specific
HC04_A07	21000000	22000000	0	0	0	3	4	0	3	0	At_specific
HC04_A07	25000000	26000000	1	2	0	0	0	0	0	0	At_specific
HC04_A07	28000000	29000000	0	0	0	0	0	3	1	3	At_specific
HC04_A07	35000000	36000000	0	0	0	4	2	0	0	0	At_specific
HC04_A07	36000000	37000000	0	0	0	0	0	0	0	2	At_specific
HC04_A07	38000000	39000000	0	1	0	0	1	0	0	0	At_specific
HC04_A07	40000000	41000000	0	0	0	0	0	0	0	2	At_specific
HC04_A07	43000000	44000000	5	0	0	0	2	0	1	0	At_specific
HC04_A07	46000000	47000000	0	0	0	0	0	1	0	1	At_specific
HC04_A07	47000000	48000000	0	0	0	0	0	2	0	0	At_specific
HC04_A07	48000000	49000000	0	0	0	0	0	0	0	2	At_specific
HC04_A07	50000000	51000000	0	0	0	0	2	0	0	0	At_specific
HC04_A07	52000000	53000000	0	0	0	0	2	0	0	0	At_specific
HC04_A07	55000000	56000000	0	0	0	0	1	0	0	1	At_specific
HC04_A07	58000000	59000000	2	0	0	0	0	0	0	0	At_specific
HC04_A07	60000000	61000000	0	0	0	0	0	0	0	2	At_specific
HC04_A07	61000000	62000000	0	2	0	0	0	0	0	0	At_specific
HC04_A07	62000000	63000000	0	0	0	0	2	0	0	0	At_specific
HC04_A07	63000000	64000000	0	1	0	0	1	0	0	0	At_specific
HC04_A07	65000000	66000000	0	1	0	0	1	0	0	0	At_specific
HC04_A07	66000000	67000000	0	0	0	0	0	0	0	2	At_specific
HC04_A07	67000000	68000000	0	0	0	0	2	0	0	0	At_specific
HC04_A07	68000000	69000000	0	0	0	0	0	0	0	2	At_specific
HC04_A07	70000000	71000000	2	0	0	0	0	0	0	0	At_specific
HC04_A07	71000000	72000000	0	0	0	0	0	2	0	0	At_specific
HC04_A07	72000000	73000000	0	0	0	0	0	2	0	0	At_specific
HC04_A07	73000000	74000000	0	0	0	0	0	1	0	1	At_specific
HC04_A07	75000000	76000000	0	0	0	0	0	0	0	2	At_specific
HC04_A07	82000000	83000000	0	0	0	0	0	0	0	2	At_specific
HC04_A07	85000000	86000000	0	0	0	0	0	0	0	22	At_specific
HC04_A07	87000000	88000000	0	2	1	1	1	0	1	2	At_specific
HC04_A07	88000000	89000000	4	2	0	18	2	1	3	3	At_specific
HC04_A07	89000000	90000000	0	0	0	0	1	0	1	6	At_specific
HC04_A07	91000000	92000000	0	0	0	7	4	0	0	16	At_specific
HC04_A08	7000000	8000000	1	0	0	0	2	0	6	0	At_specific
HC04_A08	12000000	13000000	5	30	0	0	0	0	0	0	At_specific
HC04_A08	16000000	17000000	0	11	0	0	0	0	0	0	At_specific
HC04_A08	19000000	20000000	8	0	0	0	0	0	0	0	At_specific
HC04_A08	22000000	23000000	0	0	0	0	0	1	0	0	At_specific
HC04_A08	27000000	28000000	0	0	0	1	0	0	3	0	At_specific
HC04_A08	31000000	32000000	2	0	8	5	0	0	21	0	At_specific
HC04_A08	34000000	35000000	0	25	0	0	0	0	0	0	At_specific
HC04_A08	36000000	37000000	21	9	0	0	0	0	0	0	At_specific
HC04_A08	38000000	39000000	19	0	6	0	0	0	0	0	At_specific
HC04_A08	40000000	41000000	10	0	2	0	0	0	0	0	At_specific
HC04_A08	41000000	42000000	1	8	3	0	0	0	0	0	At_specific
HC04_A08	43000000	44000000	5	7	0	0	0	0	0	0	At_specific
HC04_A08	44000000	45000000	12	0	0	0	0	0	0	0	At_specific
HC04_A08	45000000	46000000	12	0	0	0	0	0	0	0	At_specific
HC04_A08	46000000	47000000	12	0	0	0	0	0	0	0	At_specific
HC04_A08	50000000	51000000	1	5	0	0	3	1	0	1	At_specific
HC04_A08	51000000	52000000	0	0	0	0	11	0	0	0	At_specific
HC04_A08	53000000	54000000	0	9	0	0	0	2	0	0	At_specific
HC04_A08	55000000	56000000	0	3	0	0	0	8	0	0	At_specific
HC04_A08	57000000	58000000	0	5	0	0	2	2	0	2	At_specific
HC04_A08	59000000	60000000	0	0	0	1	5	5	0	0	At_specific
HC04_A08	60000000	61000000	0	11	0	0	0	0	0	0	At_specific
HC04_A08	62000000	63000000	0	8	0	0	3	0	0	0	At_specific
HC04_A08	64000000	65000000	0	0	0	0	7	0	0	4	At_specific
HC04_A08	66000000	67000000	0	5	0	0	6	0	0	0	At_specific
HC04_A08	67000000	68000000	4	7	0	0	0	0	0	0	At_specific
HC04_A08	68000000	69000000	1	1	0	0	6	3	0	0	At_specific
HC04_A08	70000000	71000000	0	5	0	2	2	0	1	1	At_specific
HC04_A08	71000000	72000000	0	7	0	0	1	3	0	0	At_specific
HC04_A08	72000000	73000000	1	2	0	0	3	1	0	4	At_specific
HC04_A08	73000000	74000000	0	0	3	7	2	2	0	0	At_specific
HC04_A08	74000000	75000000	0	11	0	0	0	0	0	0	At_specific
HC04_A08	75000000	76000000	0	5	0	1	2	3	0	0	At_specific
HC04_A08	76000000	77000000	0	3	0	0	5	3	0	1	At_specific
HC04_A08	77000000	78000000	1	5	0	0	1	4	1	0	At_specific
HC04_A08	78000000	79000000	4	1	0	3	2	1	0	0	At_specific
HC04_A08	79000000	80000000	0	8	0	0	3	0	0	0	At_specific
HC04_A08	80000000	81000000	0	7	0	0	0	4	0	0	At_specific
HC04_A08	81000000	82000000	0	1	0	0	1	4	2	3	At_specific
HC04_A08	82000000	83000000	0	0	0	0	11	0	0	0	At_specific
HC04_A08	83000000	84000000	0	0	0	0	9	2	0	0	At_specific
HC04_A08	84000000	85000000	0	11	0	0	0	0	0	0	At_specific
HC04_A08	86000000	87000000	0	0	0	0	3	0	0	8	At_specific
HC04_A08	87000000	88000000	0	9	0	0	2	0	0	0	At_specific
HC04_A08	89000000	90000000	2	0	0	0	5	4	0	0	At_specific
HC04_A08	91000000	92000000	0	0	0	0	7	4	0	0	At_specific
HC04_A08	92000000	93000000	6	0	0	5	0	0	0	0	At_specific
HC04_A08	94000000	95000000	0	6	0	0	1	1	0	3	At_specific
HC04_A08	95000000	96000000	0	6	0	0	5	0	0	0	At_specific
HC04_A08	96000000	97000000	0	11	0	0	0	0	0	0	At_specific
HC04_A08	97000000	98000000	0	1	0	0	4	2	1	3	At_specific
HC04_A08	99000000	100000000	2	5	0	4	0	0	0	0	At_specific
HC04_A08	100000000	101000000	0	7	0	0	4	0	0	0	At_specific
HC04_A08	101000000	102000000	3	8	0	0	0	0	0	0	At_specific
HC04_A08	116000000	117000000	1	0	0	12	0	0	0	0	At_specific
HC04_A08	122000000	123000000	0	0	0	0	17	0	3	0	At_specific
HC04_A09	0	1000000	29	0	0	0	4	0	0	1	At_specific
HC04_A09	4000000	5000000	0	0	3	19	1	0	0	0	At_specific
HC04_A09	12000000	13000000	0	0	0	0	6	0	0	0	At_specific
HC04_A09	16000000	17000000	3	0	0	0	0	0	0	0	At_specific
HC04_A09	24000000	25000000	10	0	1	0	0	0	0	2	At_specific
HC04_A09	26000000	27000000	0	3	0	0	4	0	0	0	At_specific
HC04_A09	30000000	31000000	0	1	0	0	6	0	15	1	At_specific
HC04_A09	32000000	33000000	0	0	0	0	0	0	21	0	At_specific
HC04_A09	36000000	37000000	0	1	0	0	0	0	0	0	At_specific
HC04_A09	40000000	41000000	0	0	0	0	0	0	2	1	At_specific
HC04_A09	41000000	42000000	1	0	18	1	2	0	0	0	At_specific
HC04_A09	47000000	48000000	0	0	0	1	4	0	0	0	At_specific
HC04_A09	48000000	49000000	0	0	0	1	0	0	4	0	At_specific
HC04_A09	49000000	50000000	0	0	0	0	0	0	5	0	At_specific
HC04_A09	52000000	53000000	0	0	1	0	0	0	5	0	At_specific
HC04_A09	53000000	54000000	0	0	0	0	5	0	0	0	At_specific
HC04_A09	57000000	58000000	2	0	0	0	0	0	2	0	At_specific
HC04_A09	59000000	60000000	0	0	0	1	25	0	4	4	At_specific
HC04_A09	60000000	61000000	1	2	1	1	11	2	4	4	At_specific
HC04_A09	61000000	62000000	1	2	3	1	13	3	5	1	At_specific
HC04_A09	67000000	68000000	2	2	0	1	7	1	5	1	At_specific
HC04_A09	68000000	69000000	0	0	5	0	0	0	0	0	At_specific
HC04_A09	77000000	78000000	11	0	0	0	15	0	0	0	At_specific
HC04_A09	82000000	83000000	2	0	12	9	10	0	0	0	At_specific
HC04_A10	5000000	6000000	6	0	0	6	0	0	1	0	At_specific
HC04_A10	8000000	9000000	0	2	0	0	0	3	0	0	At_specific
HC04_A10	20000000	21000000	0	0	0	0	0	0	6	0	At_specific
HC04_A10	22000000	23000000	2	0	1	17	0	0	0	0	At_specific
HC04_A10	26000000	27000000	0	6	0	0	0	8	0	0	At_specific
HC04_A10	29000000	30000000	0	4	0	0	0	0	0	0	At_specific
HC04_A10	36000000	37000000	0	0	12	0	0	0	0	0	At_specific
HC04_A10	42000000	43000000	0	0	1	0	5	7	0	0	At_specific
HC04_A10	48000000	49000000	3	0	3	0	1	0	0	0	At_specific
HC04_A10	73000000	74000000	9	1	0	0	2	0	4	0	At_specific
HC04_A10	75000000	76000000	14	0	0	0	0	0	6	3	At_specific
HC04_A10	76000000	77000000	3	1	0	0	0	0	2	17	At_specific
HC04_A10	81000000	82000000	0	0	0	0	0	0	3	0	At_specific
HC04_A10	83000000	84000000	5	0	0	0	0	0	0	0	At_specific
HC04_A10	87000000	88000000	0	1	0	0	13	0	10	0	At_specific
HC04_A10	90000000	91000000	0	1	0	0	0	0	0	0	At_specific
HC04_A10	91000000	92000000	1	0	0	0	0	0	0	0	At_specific
HC04_A10	105000000	106000000	7	0	14	0	0	0	1	0	At_specific
HC04_A10	111000000	112000000	4	0	0	0	7	0	5	1	At_specific
HC04_A10	117000000	118000000	0	0	6	1	8	0	9	1	At_specific
HC04_A11	1000000	2000000	7	0	16	0	0	6	0	1	At_specific
HC04_A11	11000000	12000000	0	0	0	0	13	0	0	0	At_specific
HC04_A11	16000000	17000000	4	0	0	0	0	0	0	0	At_specific
HC04_A11	19000000	20000000	0	0	0	5	14	0	1	0	At_specific
HC04_A11	47000000	48000000	3	0	0	0	0	0	0	0	At_specific
HC04_A11	65000000	66000000	1	0	0	0	0	0	0	0	At_specific
HC04_A11	67000000	68000000	0	1	0	0	0	0	0	0	At_specific
HC04_A11	70000000	71000000	0	0	0	0	1	0	0	0	At_specific
HC04_A11	71000000	72000000	0	1	0	0	0	0	0	0	At_specific
HC04_A11	72000000	73000000	0	1	0	2	0	0	1	0	At_specific
HC04_A11	73000000	74000000	0	1	1	0	0	0	0	0	At_specific
HC04_A11	74000000	75000000	0	1	0	0	0	0	0	0	At_specific
HC04_A11	75000000	76000000	0	1	0	0	0	0	0	0	At_specific
HC04_A11	76000000	77000000	0	1	0	0	0	0	0	0	At_specific
HC04_A11	77000000	78000000	0	0	0	0	0	0	0	1	At_specific
HC04_A11	79000000	80000000	0	0	0	0	0	0	0	1	At_specific
HC04_A11	80000000	81000000	0	1	0	0	0	0	0	0	At_specific
HC04_A11	81000000	82000000	0	1	0	0	0	0	0	0	At_specific
HC04_A11	83000000	84000000	0	0	0	0	0	0	0	1	At_specific
HC04_A11	87000000	88000000	0	0	0	0	0	0	0	1	At_specific
HC04_A11	89000000	90000000	0	0	0	0	1	0	0	0	At_specific
HC04_A11	90000000	91000000	0	1	0	0	0	0	0	0	At_specific
HC04_A11	92000000	93000000	0	0	0	0	0	0	4	0	At_specific
HC04_A11	94000000	95000000	0	0	0	14	0	0	3	0	At_specific
HC04_A11	96000000	97000000	0	0	0	0	0	0	2	0	At_specific
HC04_A11	97000000	98000000	0	0	0	0	0	0	2	0	At_specific
HC04_A11	100000000	101000000	0	0	0	3	0	0	0	0	At_specific
HC04_A11	107000000	108000000	0	1	1	0	0	0	4	0	At_specific
HC04_A11	110000000	111000000	0	0	0	2	0	0	2	0	At_specific
HC04_A11	122000000	123000000	21	0	0	1	1	0	11	0	At_specific
HC04_A12	4000000	5000000	2	0	1	1	4	0	0	8	At_specific
HC04_A12	7000000	8000000	1	0	16	0	2	0	2	5	At_specific
HC04_A12	11000000	12000000	0	0	0	0	0	1	0	0	At_specific
HC04_A12	14000000	15000000	5	0	0	10	5	0	0	0	At_specific
HC04_A12	35000000	36000000	4	0	0	0	0	0	0	0	At_specific
HC04_A12	36000000	37000000	0	2	0	0	0	0	0	0	At_specific
HC04_A12	42000000	43000000	0	0	0	0	0	0	1	0	At_specific
HC04_A12	62000000	63000000	0	4	0	0	0	0	1	0	At_specific
HC04_A12	63000000	64000000	21	0	0	0	0	0	0	3	At_specific
HC04_A12	73000000	74000000	3	0	0	0	0	0	0	0	At_specific
HC04_A12	78000000	79000000	0	28	0	0	0	0	0	0	At_specific
HC04_A12	82000000	83000000	0	0	0	0	4	0	0	0	At_specific
HC04_A12	88000000	89000000	13	2	10	0	0	0	0	0	At_specific
HC04_A12	93000000	94000000	1	0	0	0	0	0	6	0	At_specific
HC04_A12	97000000	98000000	0	0	1	7	0	0	8	0	At_specific
HC04_A12	104000000	105000000	4	4	1	0	1	0	4	3	At_specific
HC04_A12	107000000	108000000	9	3	0	1	1	2	0	1	At_specific
HC04_A13	2000000	3000000	4	4	0	0	11	0	2	9	At_specific
HC04_A13	12000000	13000000	0	0	0	0	2	0	0	2	At_specific
HC04_A13	14000000	15000000	8	0	0	0	0	0	4	1	At_specific
HC04_A13	35000000	36000000	0	7	0	2	4	0	0	0	At_specific
HC04_A13	37000000	38000000	0	2	0	0	0	0	0	0	At_specific
HC04_A13	57000000	58000000	2	0	0	0	9	0	0	5	At_specific
HC04_A13	58000000	59000000	0	0	0	0	0	0	0	16	At_specific
HC04_A13	59000000	60000000	0	0	0	0	2	0	0	14	At_specific
HC04_A13	60000000	61000000	0	0	0	0	12	0	0	4	At_specific
HC04_A13	61000000	62000000	0	0	0	0	16	0	0	0	At_specific
HC04_A13	62000000	63000000	0	0	0	0	5	0	0	11	At_specific
HC04_A13	63000000	64000000	0	0	0	0	7	0	0	9	At_specific
HC04_A13	65000000	66000000	0	0	0	0	6	0	0	10	At_specific
HC04_A13	68000000	69000000	2	0	0	0	33	0	0	0	At_specific
HC04_A13	71000000	72000000	0	0	0	0	16	0	0	0	At_specific
HC04_A13	73000000	74000000	0	0	0	0	29	0	0	0	At_specific
HC04_A13	74000000	75000000	0	0	0	0	29	0	0	0	At_specific
HC04_A13	75000000	76000000	0	0	0	0	2	0	27	0	At_specific
HC04_A13	78000000	79000000	0	0	0	0	0	0	27	0	At_specific
HC04_A13	80000000	81000000	0	0	0	14	13	0	0	0	At_specific
HC04_A13	84000000	85000000	23	0	0	0	0	0	0	1	At_specific
HC04_A13	85000000	86000000	0	0	17	0	0	0	0	7	At_specific
HC04_A13	96000000	97000000	0	0	0	0	1	0	0	0	At_specific
HC04_A13	100000000	101000000	0	0	0	0	0	0	2	1	At_specific
HC04_A13	105000000	106000000	5	0	0	10	0	0	1	0	At_specific
HC04_A13	109000000	110000000	0	0	0	4	0	0	0	0	At_specific
HC04_D01	0	1000000	7	2	0	0	0	0	0	11	Dt_specific
HC04_D01	26000000	27000000	0	0	0	0	0	0	1	8	Dt_specific
HC04_D01	28000000	29000000	1	0	0	0	0	0	8	0	Dt_specific
HC04_D01	29000000	30000000	0	0	0	0	5	0	2	2	Dt_specific
HC04_D01	30000000	31000000	2	0	0	0	9	0	0	1	Dt_specific
HC04_D01	31000000	32000000	5	0	4	0	0	0	0	0	Dt_specific
HC04_D02	1000000	2000000	9	11	0	5	10	1	0	0	Dt_specific
HC04_D02	35000000	36000000	3	2	0	0	0	4	3	0	Dt_specific
HC04_D02	36000000	37000000	1	12	0	0	0	0	0	0	Dt_specific
HC04_D03	25000000	26000000	0	0	0	0	1	0	0	0	Dt_specific
HC04_D03	40000000	41000000	1	0	2	0	0	0	0	0	Dt_specific
HC04_D04	1000000	2000000	15	13	0	1	0	0	2	2	Dt_specific
HC04_D04	30000000	31000000	2	0	0	0	0	0	0	0	Dt_specific
HC04_D04	31000000	32000000	0	0	0	1	0	0	0	0	Dt_specific
HC04_D04	34000000	35000000	0	0	7	2	0	0	0	0	Dt_specific
HC04_D05	43000000	44000000	0	0	0	1	1	0	0	1	Dt_specific
HC04_D05	44000000	45000000	0	2	0	0	8	0	0	0	Dt_specific
HC04_D05	56000000	57000000	0	0	0	0	2	0	0	0	Dt_specific
HC04_D06	26000000	27000000	6	0	0	1	0	0	0	0	Dt_specific
HC04_D06	30000000	31000000	4	0	0	1	1	2	2	0	Dt_specific
HC04_D06	31000000	32000000	5	0	0	2	5	1	0	2	Dt_specific
HC04_D06	35000000	36000000	0	0	0	2	0	0	0	5	Dt_specific
HC04_D07	0	1000000	4	0	2	0	0	0	3	0	Dt_specific
HC04_D07	16000000	17000000	1	2	0	15	4	0	0	6	Dt_specific
HC04_D07	17000000	18000000	1	12	0	6	4	0	0	5	Dt_specific
