seqnames	start	end	width	strand	pvalue	num.events
HC04_D05	20451241	20785081	333841	*	0.034943359375	36
HC04_D05	25804898	26406422	601525	*	0.00114648437499998	69
HC04_D05	29284775	29752457	467683	*	0.00173046875000005	63
HC04_D05	31560080	32295444	735365	*	0	100
HC04_D05	33701543	34035383	333841	*	0.00171484374999997	56
HC04_D05	57391476	66692692	9301217	*	0	2361
HC04_D06	1573892	7505025	5931134	*	0	765
HC04_D06	25164838	25364837	200000	*	0.02482421875	28
HC04_D06	27430635	27763916	333282	*	0.02074609375	24
HC04_D06	30229561	32295510	2065950	*	0	327
HC04_D06	57419125	57885689	466565	*	0.00824804687500003	35
HC04_D06	60351333	61617590	1266258	*	9.76562499999112e-06	108
HC04_D06	61817437	62550565	733129	*	7.8125000000373e-06	73
HC04_D06	63550106	63750105	200000	*	0.041638671875	19
HC04_D06	64216517	66923722	2707206	*	0	276
HC04_D07	6204434	7010052	805619	*	0	121
HC04_D07	16621070	18880171	2259102	*	0	483
HC04_D07	23525119	23967366	442248	*	0.000855468749999977	69
HC04_D07	29217932	30750291	1532360	*	0	1115
HC04_D07	35516363	36806475	1290113	*	0	508
HC04_D07	49445585	50008955	563371	*	0.000283203124999964	75
HC04_D07	60225592	60667838	442247	*	0.00629687499999998	51
HC04_D08	1	1651987	1651987	*	0	401
HC04_D08	2879036	3507150	628115	*	0.000210937500000008	68
HC04_D08	7731000	8359113	628114	*	0.00584570312499999	63
HC04_D08	10442391	10927800	485410	*	0.00269726562499994	52
HC04_D08	24998281	25769099	770819	*	0	120
HC04_D08	32561636	34188683	1627048	*	0	491
HC04_D08	37556304	39183351	1627048	*	0	447
HC04_D08	43121792	45319658	2197867	*	0	309
HC04_D08	55394405	56165223	770819	*	0	128
HC04_D08	65954561	66868084	913524	*	0	107
HC04_D08	68237837	68437836	200000	*	0.047880859375	20
HC04_D08	69094066	70292999	1198934	*	1.36718750000098e-05	115
HC04_D08	71377343	71720047	342705	*	0.034748046875	40
HC04_D09	3888155	4535610	647456	*	0	98
HC04_D09	5006796	7444076	2437281	*	0	434
HC04_D09	16193201	18183025	1989825	*	0	707
HC04_D09	21786404	23776227	1989824	*	0	377
HC04_D09	26484694	26908421	423728	*	0.00455468749999999	52
HC04_D09	38006691	38542282	535592	*	0.013017578125	52
HC04_D09	44271078	44806669	535592	*	0.00284570312499999	59
HC04_D09	52437154	53084609	647456	*	0.000222656249999953	78
HC04_D09	54003251	54203250	200000	*	0.028125	24
HC04_D10	946477	1695126	748650	*	0	91
HC04_D10	6021492	8416093	2394602	*	0	310
HC04_D10	39077675	41609437	2531763	*	0	438
HC04_D10	57045973	58891923	1845951	*	0	349
HC04_D10	59514899	59989223	474325	*	0.000326171874999948	57
HC04_D10	60337875	60675036	337162	*	0.010814453125	37
HC04_D10	61846663	62320987	474325	*	0.00416992187499998	54
HC04_D10	62532476	68897365	6364890	*	0	1101
HC04_D11	177790	523786	345997	*	0.00384765625000005	42
HC04_D11	761777	10305567	9543791	*	0	2409
HC04_D11	27771172	29139145	1367974	*	0	192
HC04_D11	69088246	69872232	783987	*	0.000113281249999986	85
HC04_D12	1	789708	789708	*	0.0018359375	76
HC04_D12	1105591	2982209	1876619	*	0	173
HC04_D12	4716770	5561622	844853	*	0.00232617187499995	69
HC04_D12	5877506	6335446	457941	*	0.00172656250000003	43
HC04_D12	18129719	20522219	2392501	*	0	332
HC04_D12	29995020	30452961	457942	*	5.66406249999929e-05	49
HC04_D12	40183703	40770614	586912	*	0	63
HC04_D12	45342530	45671499	328970	*	0.00819335937499999	36
HC04_D12	46116354	47477089	1360736	*	2.92968749999734e-05	113
HC04_D12	48308855	49153707	844853	*	0.000890625000000034	70
HC04_D12	49985473	50701355	715883	*	6.05468750000115e-05	65
HC04_D12	52049004	53280768	1231765	*	0.000369140625000042	99
HC04_D12	53854593	57407830	3553238	*	0	375
HC04_D12	58239596	59342390	1102795	*	0	104
HC04_D12	59400332	61405920	2005589	*	0	165
HC04_D12	61592833	62308715	715883	*	0.00311914062499996	53
HC04_D12	63527393	64114304	586912	*	0.00242578125000004	46
HC04_D13	1	2750695	2750695	*	0	378
HC04_D13	2939835	3528973	589139	*	0.018140625	39
HC04_D13	3588400	5474667	1886268	*	3.90625000001865e-06	142
HC04_D13	7350076	7679788	329713	*	0.0155078125	29
HC04_D13	14743715	15073427	329713	*	0.00616601562499997	34
HC04_D13	29401279	31028121	1626843	*	0	175
HC04_D13	47431381	48150232	718852	*	0	73
HC04_D13	49636502	49966214	329713	*	0.032623046875	27
HC04_D13	55733011	57489565	1756555	*	0	174
HC04_D13	59105548	59694686	589139	*	0.00107421875000002	48
HC04_D13	60013539	63326649	3313111	*	0	372
HC04_D13	64164353	64883204	718852	*	0.00351171875	48
